taxa_name	pelvic fin	pectoral fin	
Megalomycteridae	0 and 1	?	
Lycenchelys hureaui	0	?	
Pholis fasciata	0	1	
Monognathidae	0	0	
Odontognathus mucronatus	0	1	
Eolactoria sorbinii	0	?	
Oreoglanis macropterus	1	1	
Sternopygidae	0	1	
Amphilius longirostris	1	1	
Alabes brevis	0	0	
Eotetraodon pygmaeus	0	?	
Apteronotus magdalenensis	0	1	
Mochokus brevis	1	1	
Miuroglanis platycephalus	0	1	
Hoplunnis	0	1	
Cetomimidae	0	1	
Schilbidae	0 and 1	1	
Muraenidae	0	0	
Ophidiiformes	0 and 1	?	
Halimuraena	0 and 1	1	
Gymnallabes typus	0 and 1	0	
Gymnotiformes	0	1	
Pseudochromidae	0 and 1	1	
Alabes hoesei	0	0	
Hephthocara simum	0	?	
Muraenichthys	?	0	
Monopterus cuchia	0	0	
Sternarchella schotti	0	1	
Lagocephalus laevigatus	0	1	
Xenoconger fryeri	0	0	
Ophisternon infernale	0	0	
Trinectes maculatus	?	0	
Gymnotus carapo	0	1	
Heteropneustes fossilis	1	1	
Phrynorhombus regius	1	?	
Spinacanthus cuneiformis	0	?	
Synaphobranchidae	0	?	
Encheliophis	0	1	
Ostraciidae	0 and 1	1	
Eigenmannia humboldtii	0	1	
Mola mola	0	1	
Canthigaster rostrata	0	?	
Typhlobelus ternetzi	0	1	
Lamprogrammus brunswigi	0	1	
Heptadiodon echinus	0	?	
Phractocephalus hemioliopterus	1	1	
Simpsonichthys boitonei	0	1	
Aracana aurita	0	?	
Serrivomeridae	0	1	
Rhabdolichops electrogrammus	0	1	
Heterenchelyidae	0	0	
Anguilla rostrata	0	?	
Achiropsettidae	?	0 and 1	
Batasio batasio	1	1	
Rusichthys	0 and 1	1	
Anguillidae	0	1	
Eurypharyngidae	0	1	
Aseraggodes holcomi	1	0	
Ceratiidae	0	1	
Lamprogrammus exutus	0	1	
Derichthyidae	0	?	
Osteoglossiformes	0 and 1	?	
Thermobiotes mytilogeiton	?	0	
Platyurosternarchus macrostomus	0	1	
Melanocetidae	0	1	
Rhamphichthyidae	0	1	
Parabrotulidae	0	1	
Listrura tetraradiata	0	1	
Bathymicrops regis	1	1	
Muraenesocidae	0	1	
Ophisternon candidum	0	0	
Nettastomatidae	0	0	
Bathysaurus mollis	1	1	
Hypopygus lepturus	0	1	
Haliophis	0 and 1	1	
Hemisorubim sp. (de Pinna 1993)	1	?	
Glanapteryx anguilla	0 and 1	1	
Sternopygus sp. (Fink and Fink 1981)	0	1	
Eurypharynx pelecanoides	0	?	
Hime japonica	1	1	
Atheriniformes	0 and 1	?	
Blennodesmus	0 and 1	1	
Gorgasia	?	0	
Bellottia armiger	0	?	
Paedocypris	?	1	
Prodiodon erinaceus	0	?	
Chologaster cornuta	0	1	
Mugil cephalus	1	?	
Stephanoberyciformes	0 and 1	?	
Cyema atrum	0	1	
Stromateidae	0	1	
Congrogadus malayanus	0	1	
