taxa_name	pectoral_fin	pelvic_fin	
Megalomycteridae	?	?	
Lycenchelys_hureaui	?	0	
Pholis_fasciata	1	0	
Monognathidae	0	0	
Odontognathus_mucronatus	1	0	
Eolactoria_sorbinii	?	0	
Oreoglanis_macropterus	1	1	
Sternopygidae	1	0	
Amphilius_longirostris	1	1	
Alabes_brevis	0	0	
Eotetraodon_pygmaeus	?	0	
Apteronotus_magdalenensis	1	0	
Mochokus_brevis	1	1	
Miuroglanis_platycephalus	1	0	
Hoplunnis	1	0	
Cetomimidae	1	0	
Schilbidae	1	?	
Muraenidae	0	0	
Ophidiiformes	?	?	
Halimuraena	1	?	
Gymnallabes_typus	0	0&1	
Gymnotiformes	1	0	
Pseudochromidae	1	?	
Alabes_hoesei	0	0	
Hephthocara_simum	?	0	
Muraenichthys	0	?	
Monopterus_cuchia	0	0	
Sternarchella_schotti	1	0	
Lagocephalus_laevigatus	1	0	
Xenoconger_fryeri	0	0	
Ophisternon_infernale	0	0	
Trinectes_maculatus	0	?	
Gymnotus_carapo	1	0	
Heteropneustes_fossilis	1	1	
Phrynorhombus_regius	?	1	
Spinacanthus_cuneiformis	?	0	
Synaphobranchidae	?	0	
Encheliophis	1	0	
Ostraciidae	1	?	
Eigenmannia_humboldtii	1	0	
Mola_mola	1	0	
Canthigaster_rostrata	?	0	
Typhlobelus_ternetzi	1	0	
Lamprogrammus_brunswigi	1	0	
Heptadiodon_echinus	?	0	
Phractocephalus_hemioliopterus	1	1	
Simpsonichthys_boitonei	1	0	
Aracana_aurita	?	0	
Serrivomeridae	1	0	
Rhabdolichops_electrogrammus	1	0	
Heterenchelyidae	0	0	
Anguilla_rostrata	?	0	
Achiropsettidae	?	?	
Batasio_batasio	1	1	
Rusichthys	1	?	
Anguillidae	1	0	
Eurypharyngidae	1	0	
Aseraggodes_holcomi	0	1	
Ceratiidae	1	0	
Lamprogrammus_exutus	1	0	
Derichthyidae	?	0	
Osteoglossiformes	?	?	
Thermobiotes_mytilogeiton	0	?	
Platyurosternarchus_macrostomus	1	0	
Melanocetidae	1	0	
Rhamphichthyidae	1	0	
Parabrotulidae	1	0	
Listrura_tetraradiata	1	0	
Bathymicrops_regis	1	1	
Muraenesocidae	1	0	
Ophisternon_candidum	0	0	
Nettastomatidae	0	0	
Bathysaurus_mollis	1	1	
Hypopygus_lepturus	1	0	
Haliophis	1	?	
Hemisorubim_sp._(de_Pinna_1993)	?	1	
Glanapteryx_anguilla	1	0&1	
Sternopygus_sp._(Fink_and_Fink_1981)	1	0	
Eurypharynx_pelecanoides	?	0	
Hime_japonica	1	1	
Atheriniformes	?	?	
Blennodesmus	1	?	
Gorgasia	0	?	
Bellottia_armiger	?	0	
Paedocypris	1	?	
Prodiodon_erinaceus	?	0	
Chologaster_cornuta	1	0	
Mugil_cephalus	?	1	
Stephanoberyciformes	?	?	
Cyema_atrum	1	0	
Stromateidae	1	0	
Congrogadus_malayanus	1	0	
Hemibagrus_menoda	1	1	
Brachyplatystoma_filamentosum	1	1	
Channidae	1	?	
Ophichthus_rex	?	0	
Carapus	1	0	
Gobiesocidae	?	?	
Trichomycterus_catamarcensis	1	0	
Opisthopterus_valenciennesi	1	0	
Scytalina_cerdale	1	0	
Rivulidae	1	?	
Colocongridae	1	0	
Amphilius_uranoscopus	1	1	
Opisthopterus_tardoore	1	0	
Pseudobagarius_macronemus	1	1	
Seriola_dumerili	1	1	
Alabes_dorsalis	0	1	
Phractura_lindica	1	1	
Congridae	?	0	
Eurypleuron	1	0	
Gymnotidae	1	0	
Diodon_holocanthus	?	0	
Belonion_apodion	1	0	
Trichomycteridae	1	?	
Listrura_camposi	1	0	
Anarhichadidae	1	0	
Platydoras_costatus	1	1	
Benthalbella_macropinna	1	1	
Chilomycterus_schoepfii	?	0	
Liparidae	1	?	
Trachipteridae	?	?	
Schistura_fasciolata	1	1	
Plotosus_limbatus	?	1	
Uegitglanis_zammaranoi	?	1	
Cyprinodontiformes	?	?	
Robinsia_catherinae	0	0	
Chrysichthys_habereri	1	1	
Hypoptychus_dybowskii	1	0	
Heteroconger	0	?	
Synbranchus_lampreia	0	0	
Neoceratias_spinifer	1	0	
Chlopsis	0	0	
Listrura_nematopteryx	1	0	
Pygidianops_eigenmanni	1	0	
Megupsilon_aporus	1	0	
Indoreonectes_evezardi	1	1	
Cinetodus_crassilabris	1	1	
Pseudeutropius_moolenburghae	1	1	
Diceratiidae	1	0	
Ipnops_agassizii	1	1	
Chaudhuria	1	0	
Listrura_boticario	1	0	
Gigantura_chuni	1	0	
Platystacus_sp._(Mo_1991)	1	1	
Glyptothorax_cous	1	1	
Chiloglanis_sp._A_(Vigliotta_2008)	1	1	
Ituglanis_metae	1	1	
Corydoras_aeneus	1	1	
Myrocongridae	1	0	
Corydoras_punctatus	1	?	
Parastromateus_niger	1	0	
Monopterus_boueti	0	0	
Echiophis_punctifer	?	0	
Plotosus_canius	1	1	
Sternarchogiton_sp._B_(Albert_2001)	1	0	
Racenisia_fimbriipinna	1	0	
Ophichthidae	?	0	
Balistidae	1	?	
Nemichthyidae	1	0	
Apteronotus_leptorhynchus	1	0	
Neochanna_apoda	1	0	
Eigenmannia_virescens	1	0	
Boulengerella_lateristriga	1	?	
Tetraodontidae	1	?	
Neochanna_diversus	1	0	
Nectoliparis_pelagicus	1	0	
Labridae	1	?	
Empetrichthys	1	0	
Magosternarchus_duccis	1	0	
Electrophorus_electricus	1	0	
Typhlichthys_subterraneus	1	0	
Monodactylus	1	0	
Gasterosteiformes	?	?	
Xiphias_gladius	1	0	
Distocyclus_conirostris	1	0	
Archaeotetraodon_jamestyleri	?	0	
Callichthys_sp._(Mo_1991)	1	1	
Pseudecheneis_sulcata	1	1	
Synodontis_macrostigma	1	1	
Alabes	0	?	
Garo_khajuriai	1	0	
Bellottia_cryptica	?	0	
Apeltes_quadracus	1	1	
Synodontis_sorex	1	1	
Stylephoridae	1	?	
Megadontognathus_cuyuniense	1	0	
Lepturacanthus	1	0	
Opsariichthys_bidens	1	1	
Neoopisthopterus_cubanus	?	0	
Cyematidae	1	0	
Adontosternarchus_sp._(Fink_and_Fink_1981)	1	0	
Zaprora_silenus	1	0	
Chiloglanis_sp._C_(Vigliotta_2008)	1	1	
Scopelosaurus_hoedti	1	1	
Apodichthys	1	0	
Sphoeroides_maculatus	?	0	
Ahliesaurus_berryi	1	1	
Entomocorus_benjamini	1	1	
Carapidae	?	?	
Channallabes_apus	0	0&1	
Brachysynodontis_batensoda	1	1	
Kaupichthys	1	0	
Phyllonemus_typus	1	1	
