taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Hybognathus placitus	1	1	2	2	0	0
Hybognathus hankinsoni	1	1	2	2	0	0
Hybognathus argyritis	?	?	?	?	?	?
Hybognathus regius	?	?	?	?	?	?
Hybognathus nuchalis	1	1	2	2	0	0
Hybognathus hayi	1	1	2	2	0	0
Hybognathus amarus	?	?	?	?	?	?
Lythrurus fasciolaris	1	1	2	2	1	0
Lythrurus lirus	1	?	2	?	1	0
Lythrurus umbratilis	1	1	2	2	0	0
Lythrurus bellus	1	1	2	2	0	0
Lythrurus roseipinnis	1	1	2	2	0	0
Lythrurus matutinus	1	?	2	?	1	0
Lythrurus snelsoni	1	1	2	2	0	0
Lythrurus fumeus	1	1	2	2	0	0
Lythrurus ardens	1	1	2	2	0	0
Lythrurus atrapiculus	1	?	2	?	1	0
Lythrurus alegnotus	1	1	2	2	1	0
Luxilus chrysocephalus	1	1	2	2	0	0
Luxilus cornutus	1	?	2	?	0	0
Luxilus coccogenis	1	1	2	2	0	0
Luxilus cerasinus	1	1	2	2	0	0
Luxilus cardinalis	?	?	?	?	?	?
Luxilus albeolus	1	1	2	2	0	0
Luxilus zonistius	1	1	2	2	0	0
Luxilus zonatus	?	?	?	?	?	?
Luxilus pilsbryi	1	1	2	2	0	0
Pteronotropis harperi	1	1	2	2	0	0
Pteronotropis metallicus	?	?	?	?	?	?
Pteronotropis grandipinnis	?	?	?	?	?	?
Pteronotropis hubbsi	1	1	2	2	0	0
Pteronotropis hypselopterus	1	1	2	2	0	0
Pteronotropis signipinnis	?	?	?	?	?	?
Pteronotropis welaka	1	1	2	2	0	0
Pteronotropis euryzonus	?	?	?	?	?	?
Pteronotropis merlini	?	?	?	?	?	?
Pteronotropis stonei	?	?	?	?	?	?
Yuriria alta	1	1	2	2	0	0
Yuriria amatlana	?	?	?	?	?	?
Yuriria chapalae	?	?	?	?	?	?
Yuriria sp. RPR-2014	?	?	?	?	?	?
Cyprinella callisema	1	?	2	?	1	0
Cyprinella caerulea	1	1	2	2	0	0
Cyprinella analostana	1	?	2	?	1	0
Cyprinella proserpina	1	?	2	?	1	0
Cyprinella trichroistia	1	1	2	2	0	0
Cyprinella garmani	1	?	2	?	1	0
Cyprinella xanthicara	1	?	2	?	1	0
Cyprinella bocagrande	1	?	2	?	1	0
Cyprinella rutila	1	?	2	?	1	0
Cyprinella sp. 1 SS-2007	?	?	?	?	?	?
Cyprinella alvarezdelvillari	1	?	2	?	1	0
Cyprinella formosa	1	1	2	2	0	0
Cyprinella cf. lepida EWC-2011	?	?	?	?	?	?
Cyprinella venusta	1	1	2	2	0	0
Cyprinella lutrensis	1	1	2	2	0	0
Cyprinella spiloptera	1	1	2	2	0	0
Cyprinella sp. 3 SIS-2009	?	?	?	?	?	?
Cyprinella sp. 2 SIS-2009	?	?	?	?	?	?
Cyprinella sp. SIS-2009	?	?	?	?	?	?
Cyprinella cf. nivea SIS-2009	?	?	?	?	?	?
Cyprinella sp. 1 SIS-2009	?	?	?	?	?	?
Cyprinella panarcys	1	?	2	?	1	0
Cyprinella lepida	1	?	2	?	1	0
Cyprinella callistia	1	1	2	2	0	0
Cyprinella callitaenia	1	1	2	2	0	0
Cyprinella camura	1	1	2	2	0	0
Cyprinella chloristia	1	1	2	2	0	0
Cyprinella galactura	1	1	2	2	0	0
Cyprinella gibbsi	1	?	2	?	1	0
Cyprinella labrosa	1	1	2	2	0	0
Cyprinella leedsi	1	?	2	?	1	0
Cyprinella nivea	1	1	2	2	0	0
Cyprinella pyrrhomelas	1	1	2	2	0	0
Cyprinella xaenura	1	1	2	2	0	0
Cyprinella whipplei	1	1	2	2	0	0
Cyprinella forlonensis	?	?	?	?	?	?
Cyprinella sp. 'Conchos'	?	?	?	?	?	?
Cyprinella stigmatura	1	?	2	?	1	0
Cyprinella eurystoma	1	?	2	?	1	0
Codoma ornata	?	1	?	2	0	0
Ericymba amplamala	?	?	?	?	?	?
Ericymba buccata	?	?	?	?	?	?
Notropis texanus	1	1	2	2	0	0
Agosia chrysogaster	1	1	2	2	0	0
Notropis stramineus	1	1	2	2	0	0
Notropis telescopus	1	1	2	2	0	0
Hybopsis winchelli	1	1	2	2	0	0
Hybopsis cf. winchelli	?	?	?	?	?	?
Hybopsis rubrifrons	1	1	2	2	0	0
Hybopsis boucardi	?	?	?	?	?	?
Hybopsis amnis	1	1	2	2	0	0
Hybopsis amblops	1	1	2	2	0	0
Hybopsis dorsalis	?	?	?	?	?	?
Hybopsis lineapunctata	1	1	2	2	0	0
Hybopsis hypsinotus	1	1	2	2	0	0
Hybopsis zanema	?	?	?	?	?	?
Opsopoeodus emiliae	1	1	2	2	0	0
Pimephales tenellus	1	1	2	2	0	0
Pimephales notatus	1	1	2	2	0	0
Pimephales promelas	1	1	2	2	0	0
Pimephales vigilax	1	1	2	2	0	0
Pimephales sp. SIS-2009	?	?	?	?	?	?
Erimystax harryi	1	?	2	?	1	0
Erimystax insignis	1	?	2	?	1	0
Erimystax dissimilis	1	?	2	?	1	0
Erimystax cahni	1	?	2	?	1	0
Erimystax x-punctatus	1	?	2	?	1	0
Phenacobius uranops	1	1	2	2	0	0
Phenacobius catostomus	?	?	?	?	?	?
Phenacobius teretulus	1	1	2	2	0	0
Phenacobius crassilabrum	1	1	2	2	0	0
Phenacobius mirabilis	1	1	2	2	0	0
Campostoma plumbeum	?	?	?	?	?	?
Campostoma ornatum	1	1	2	2	0	0
Campostoma pauciradii	?	?	?	?	?	?
Campostoma oligolepis	1	1	2	2	0	0
Campostoma pullum	?	?	?	?	?	?
Campostoma anomalum	1	1	2	2	0	0
Nocomis platyrhynchus	?	?	?	?	?	?
Nocomis effusus	1	1	2	2	0	0
Nocomis leptocephalus	1	1	2	2	0	0
Nocomis raneyi	1	1	2	2	0	0
Nocomis asper	?	?	?	?	?	?
Nocomis micropogon	1	1	2	2	0	0
Nocomis bellicus	?	?	?	?	?	?
Nocomis cf. bellicus 'New & Roanoke Rivers'	?	?	?	?	?	?
Nocomis cf. leptocephalus 'Western Gulf Slope'	?	?	?	?	?	?
Nocomis interocularis	?	?	?	?	?	?
Nocomis biguttatus	1	1	2	2	0	0
Nocomis cf. biguttatus 'White River'	?	?	?	?	?	?
Rhinichthys evermanni	?	?	?	?	?	?
Rhinichthys cobitis	?	1	?	2	0	0
Rhinichthys cataractae	1	1	2	2	0	0
Rhinichthys osculus	1	1	2	2	0	0
Rhinichthys atratulus	1	1	2	2	0	0
Rhinichthys obtusus	?	?	?	?	?	?
Rhinichthys sp. 'Millicoma dace'	?	?	?	?	?	?
