taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Hybognathus placitus	1	1	2	2	0	0
Hybognathus hankinsoni	1	1	2	2	0	0
Hybognathus nuchalis	1	1	2	2	0	0
Hybognathus hayi	1	1	2	2	0	0
Lythrurus fasciolaris	1	1	2	2	1	0
Lythrurus lirus	1	?	2	?	1	0
Lythrurus umbratilis	1	1	2	2	0	0
Lythrurus bellus	1	1	2	2	0	0
Lythrurus roseipinnis	1	1	2	2	0	0
Lythrurus matutinus	1	?	2	?	1	0
Lythrurus snelsoni	1	1	2	2	0	0
Lythrurus fumeus	1	1	2	2	0	0
Lythrurus ardens	1	1	2	2	0	0
Lythrurus atrapiculus	1	?	2	?	1	0
Lythrurus alegnotus	1	1	2	2	1	0
Luxilus chrysocephalus	1	1	2	2	0	0
Luxilus cornutus	1	?	2	?	0	0
Luxilus coccogenis	1	1	2	2	0	0
Luxilus cerasinus	1	1	2	2	0	0
Luxilus albeolus	1	1	2	2	0	0
Luxilus zonistius	1	1	2	2	0	0
Luxilus pilsbryi	1	1	2	2	0	0
Pteronotropis harperi	1	1	2	2	0	0
Pteronotropis hubbsi	1	1	2	2	0	0
Pteronotropis hypselopterus	1	1	2	2	0	0
Pteronotropis welaka	1	1	2	2	0	0
Yuriria alta	1	1	2	2	0	0
Cyprinella callisema	1	?	2	?	1	0
Cyprinella caerulea	1	1	2	2	0	0
Cyprinella analostana	1	?	2	?	1	0
Cyprinella proserpina	1	?	2	?	1	0
Cyprinella trichroistia	1	1	2	2	0	0
Cyprinella garmani	1	?	2	?	1	0
Cyprinella xanthicara	1	?	2	?	1	0
Cyprinella bocagrande	1	?	2	?	1	0
Cyprinella rutila	1	?	2	?	1	0
Cyprinella alvarezdelvillari	1	?	2	?	1	0
Cyprinella formosa	1	1	2	2	0	0
Cyprinella venusta	1	1	2	2	0	0
Cyprinella lutrensis	1	1	2	2	0	0
Cyprinella spiloptera	1	1	2	2	0	0
Cyprinella panarcys	1	?	2	?	1	0
Cyprinella lepida	1	?	2	?	1	0
Cyprinella callistia	1	1	2	2	0	0
Cyprinella callitaenia	1	1	2	2	0	0
Cyprinella camura	1	1	2	2	0	0
Cyprinella chloristia	1	1	2	2	0	0
Cyprinella galactura	1	1	2	2	0	0
Cyprinella gibbsi	1	?	2	?	1	0
Cyprinella labrosa	1	1	2	2	0	0
Cyprinella leedsi	1	?	2	?	1	0
Cyprinella nivea	1	1	2	2	0	0
Cyprinella pyrrhomelas	1	1	2	2	0	0
Cyprinella xaenura	1	1	2	2	0	0
Cyprinella whipplei	1	1	2	2	0	0
Cyprinella stigmatura	1	?	2	?	1	0
Cyprinella eurystoma	1	?	2	?	1	0
Codoma ornata	?	1	?	2	0	0
Notropis texanus	1	1	2	2	0	0
Agosia chrysogaster	1	1	2	2	0	0
Notropis stramineus	1	1	2	2	0	0
Notropis telescopus	1	1	2	2	0	0
Hybopsis winchelli	1	1	2	2	0	0
Hybopsis rubrifrons	1	1	2	2	0	0
Hybopsis amnis	1	1	2	2	0	0
Hybopsis amblops	1	1	2	2	0	0
Hybopsis lineapunctata	1	1	2	2	0	0
Hybopsis hypsinotus	1	1	2	2	0	0
Opsopoeodus emiliae	1	1	2	2	0	0
Pimephales tenellus	1	1	2	2	0	0
Pimephales notatus	1	1	2	2	0	0
Pimephales promelas	1	1	2	2	0	0
Pimephales vigilax	1	1	2	2	0	0
Erimystax harryi	1	?	2	?	1	0
Erimystax insignis	1	?	2	?	1	0
Erimystax dissimilis	1	?	2	?	1	0
Erimystax cahni	1	?	2	?	1	0
Erimystax x-punctatus	1	?	2	?	1	0
Phenacobius uranops	1	1	2	2	0	0
Phenacobius teretulus	1	1	2	2	0	0
Phenacobius crassilabrum	1	1	2	2	0	0
Phenacobius mirabilis	1	1	2	2	0	0
Campostoma ornatum	1	1	2	2	0	0
Campostoma oligolepis	1	1	2	2	0	0
Campostoma anomalum	1	1	2	2	0	0
Nocomis effusus	1	1	2	2	0	0
Nocomis leptocephalus	1	1	2	2	0	0
Nocomis raneyi	1	1	2	2	0	0
Nocomis micropogon	1	1	2	2	0	0
Nocomis biguttatus	1	1	2	2	0	0
Rhinichthys cobitis	?	1	?	2	0	0
Rhinichthys cataractae	1	1	2	2	0	0
Rhinichthys osculus	1	1	2	2	0	0
Rhinichthys atratulus	1	1	2	2	0	0
Rhinichthys falcatus	1	1	2	2	0	0
Richardsonius balteatus	1	1	2	2	0	0
Richardsonius egregius	1	1	2	2	0	0
Iotichthys phlegethontis	1	1	2	2	0	0
Mylocheilus caurinus	1	1	2	2	0	0
Pogonichthys macrolepidotus	1	1	2	2	0	0
Phoxinus oxycephalus	?	?	?	?	0	0
Phoxinus phoxinus	1	1	2	2	0	0
Phoxinus steindachneri	?	?	?	?	0	0
Rutilus rutilus	?	?	?	?	0	0
Chondrostoma nasus	?	?	?	?	0	0
Pseudochondrostoma polylepis	?	1	?	2	0	0
Squalius pyrenaicus	?	1	?	2	0	0
Alburnus alburnus	?	?	?	?	0	0
Scardinius erythrophthalmus	?	1	?	2	0	0
Abramis brama	?	?	?	?	0	0
Blicca bjoerkna	?	?	?	?	0	0
Notemigonus crysoleucas	1	1	2	1	0	0
Leuciscus idus	?	1	?	2	0	0
Leuciscus leuciscus	?	?	?	?	0	0
Pachychilon pictum	?	?	?	?	0	0
Pelecus cultratus	?	?	?	?	0	0
Gila modesta	1	?	2	?	1	0
Gila pulchra	1	1	2	2	1	0
Gila cypha	1	?	2	?	1	0
Moapa coriacea	1	1	2	2	0	0
Gila robusta	1	1	2	2	1	0
Gila elegans	1	?	2	?	1	0
Gila eremica	1	?	2	?	1	0
Gila intermedia	1	?	2	?	1	0
Gila minacae	1	?	2	?	1	0
Gila purpurea	1	?	2	?	1	0
Gila seminuda	1	?	2	?	1	0
Gila brevicauda	1	?	2	?	1	0
Gila nigra	1	?	2	?	1	0
Gila coerulea	1	?	2	?	1	0
Gila atraria	1	?	2	?	0	0
Gila ditaenia	1	?	2	?	1	0
Gila conspersa	1	?	2	?	1	0
Gila orcuttii	1	?	2	?	1	0
Gila nigrescens	1	?	2	?	1	0
Gila pandora	1	1	2	2	1	0
Gila crassicauda	1	?	2	?	0	0
Acrocheilus alutaceus	1	1	2	2	0	0
Eremichthys acros	1	?	2	?	1	0
Hesperoleucus symmetricus	1	1	2	2	0	0
Relictus solitarius	1	1	2	2	0	0
Orthodon microlepidotus	1	1	2	2	0	0
Tribolodon hakonensis	1	?	2	?	1	0
Tribolodon sachalinensis	1	?	2	?	1	0
Tribolodon brandtii	1	?	2	?	1	0
